start,start_state,is_repdigit,distinct_digits,digit_multiset,x,y,descending,ascending,first_result,first_result_state,trajectory,final_attractor,final_attractor_state,iterations_to_attractor,distance_to_6174,distance_to_0000,reaches_6174,reaches_0000,other_cycle_detected,cycle_length,cycle
0,0000,True,1,0000,0,0,0,0,0,0000,0000 -> 0000,0,0000,0,,0,False,True,False,1,0000 -> 0000
1,0001,False,2,0001,1,0,1000,1,999,0999,0001 -> 0999 -> 8991 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
2,0002,False,2,0002,2,0,2000,2,1998,1998,0002 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
3,0003,False,2,0003,3,0,3000,3,2997,2997,0003 -> 2997 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
4,0004,False,2,0004,4,0,4000,4,3996,3996,0004 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
5,0005,False,2,0005,5,0,5000,5,4995,4995,0005 -> 4995 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
6,0006,False,2,0006,6,0,6000,6,5994,5994,0006 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
7,0007,False,2,0007,7,0,7000,7,6993,6993,0007 -> 6993 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
8,0008,False,2,0008,8,0,8000,8,7992,7992,0008 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
9,0009,False,2,0009,9,0,9000,9,8991,8991,0009 -> 8991 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
10,0010,False,2,0001,1,0,1000,1,999,0999,0010 -> 0999 -> 8991 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
11,0011,False,2,0011,1,1,1100,11,1089,1089,0011 -> 1089 -> 9621 -> 8352 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
12,0012,False,3,0012,2,1,2100,12,2088,2088,0012 -> 2088 -> 8532 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
13,0013,False,3,0013,3,1,3100,13,3087,3087,0013 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
14,0014,False,3,0014,4,1,4100,14,4086,4086,0014 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
15,0015,False,3,0015,5,1,5100,15,5085,5085,0015 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
16,0016,False,3,0016,6,1,6100,16,6084,6084,0016 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
17,0017,False,3,0017,7,1,7100,17,7083,7083,0017 -> 7083 -> 8352 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
18,0018,False,3,0018,8,1,8100,18,8082,8082,0018 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
19,0019,False,3,0019,9,1,9100,19,9081,9081,0019 -> 9081 -> 9621 -> 8352 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
