base,digits,attractor_id,cycle,cycle_length,kind,basin_size_all,basin_percentage_all,basin_size_valid,basin_percentage_valid,repdigit_basin_size,maximum_transient_depth_all,maximum_transient_depth_valid
2,2,00,00 -> 00,1,fixed point,2,50.0,0,0.0,2,1,
2,2,01,01 -> 01,1,fixed point,2,50.0,2,100.0,0,1,1
2,3,000,000 -> 000,1,fixed point,2,25.0,0,0.0,2,1,
2,3,011,011 -> 011,1,fixed point,6,75.0,6,100.0,0,1,1
2,4,0000,0000 -> 0000,1,fixed point,2,12.5,0,0.0,2,1,
2,4,0111,0111 -> 0111,1,fixed point,8,50.0,8,57.142857142857146,0,1,1
2,4,1001,1001 -> 1001,1,fixed point,6,37.5,6,42.857142857142854,0,1,1
2,5,00000,00000 -> 00000,1,fixed point,2,6.25,0,0.0,2,1,
2,5,01111,01111 -> 01111,1,fixed point,10,31.25,10,33.333333333333336,0,1,1
2,5,10101,10101 -> 10101,1,fixed point,20,62.5,20,66.66666666666667,0,1,1
2,6,000000,000000 -> 000000,1,fixed point,2,3.125,0,0.0,2,1,
2,6,011111,011111 -> 011111,1,fixed point,12,18.75,12,19.35483870967742,0,1,1
2,6,101101,101101 -> 101101,1,fixed point,30,46.875,30,48.38709677419355,0,1,1
2,6,110001,110001 -> 110001,1,fixed point,20,31.25,20,32.25806451612903,0,1,1
3,2,00,00 -> 00,1,fixed point,9,100.0,6,100.0,3,3,3
3,3,000,000 -> 000,1,fixed point,3,11.11111111111111,0,0.0,3,1,
3,3,022 -> 121,022 -> 121 -> 022,2,non-trivial cycle,24,88.88888888888889,24,100.0,0,1,1
3,4,0000,0000 -> 0000,1,fixed point,3,3.7037037037037037,0,0.0,3,1,
3,4,1012 -> 1221,1012 -> 1221 -> 1012,2,non-trivial cycle,78,96.29629629629629,78,100.0,0,2,2
3,5,00000,00000 -> 00000,1,fixed point,3,1.2345679012345678,0,0.0,3,1,
3,5,20211,20211 -> 20211,1,fixed point,240,98.76543209876543,240,100.0,0,4,4
3,6,000000,000000 -> 000000,1,fixed point,3,0.411522633744856,0,0.0,3,1,
3,6,102212 -> 210111 -> 122221,102212 -> 210111 -> 122221 -> 102212,3,non-trivial cycle,726,99.58847736625515,726,100.0,0,3,3
4,2,00,00 -> 00,1,fixed point,4,25.0,0,0.0,4,1,
4,2,03 -> 21,03 -> 21 -> 03,2,non-trivial cycle,12,75.0,12,100.0,0,2,2
4,3,000,000 -> 000,1,fixed point,4,6.25,0,0.0,4,1,
4,3,132,132 -> 132,1,fixed point,60,93.75,60,100.0,0,3,3
4,4,0000,0000 -> 0000,1,fixed point,4,1.5625,0,0.0,4,1,
4,4,1332 -> 2022,1332 -> 2022 -> 1332,2,non-trivial cycle,168,65.625,168,66.66666666666667,0,3,3
4,4,3021,3021 -> 3021,1,fixed point,84,32.8125,84,33.333333333333336,0,3,3
4,5,00000,00000 -> 00000,1,fixed point,4,0.390625,0,0.0,4,1,
4,5,20322 -> 23331,20322 -> 23331 -> 20322,2,non-trivial cycle,1020,99.609375,1020,100.0,0,4,4
4,6,000000,000000 -> 000000,1,fixed point,4,0.09765625,0,0.0,4,1,
4,6,213312,213312 -> 213312,1,fixed point,240,5.859375,240,5.865102639296188,0,1,1
4,6,310221,310221 -> 310221,1,fixed point,3532,86.23046875,3532,86.3147605083089,0,6,6
4,6,330201,330201 -> 330201,1,fixed point,320,7.8125,320,7.820136852394917,0,2,2
5,2,00,00 -> 00,1,fixed point,9,36.0,4,20.0,5,2,2
5,2,13,13 -> 13,1,fixed point,16,64.0,16,80.0,0,3,3
5,3,000,000 -> 000,1,fixed point,5,4.0,0,0.0,5,1,
5,3,143 -> 242,143 -> 242 -> 143,2,non-trivial cycle,120,96.0,120,100.0,0,3,3
5,4,0000,0000 -> 0000,1,fixed point,5,0.8,0,0.0,5,1,
5,4,3032,3032 -> 3032,1,fixed point,620,99.2,620,100.0,0,4,4
5,5,00000,00000 -> 00000,1,fixed point,5,0.16,0,0.0,5,1,
5,5,30432 -> 40431 -> 42411 -> 32412,30432 -> 40431 -> 42411 -> 32412 -> 30432,4,non-trivial cycle,3120,99.84,3120,100.0,0,3,3
5,6,000000,000000 -> 000000,1,fixed point,5,0.032,0,0.0,5,1,
5,6,214423 -> 320322 -> 304432 -> 414421 -> 331212,214423 -> 320322 -> 304432 -> 414421 -> 331212 -> 214423,5,non-trivial cycle,15620,99.968,15620,100.0,0,5,5
6,2,00,00 -> 00,1,fixed point,6,16.666666666666668,0,0.0,6,1,
6,2,05 -> 41 -> 23,05 -> 41 -> 23 -> 05,3,non-trivial cycle,30,83.33333333333333,30,100.0,0,2,2
6,3,000,000 -> 000,1,fixed point,6,2.7777777777777777,0,0.0,6,1,
6,3,253,253 -> 253,1,fixed point,210,97.22222222222223,210,100.0,0,4,4
6,4,0000,0000 -> 0000,1,fixed point,6,0.46296296296296297,0,0.0,6,1,
6,4,1554 -> 4042 -> 4132 -> 3043 -> 3552 -> 3133,1554 -> 4042 -> 4132 -> 3043 -> 3552 -> 3133 -> 1554,6,non-trivial cycle,1290,99.53703703703704,1290,100.0,0,4,4
6,5,00000,00000 -> 00000,1,fixed point,6,0.07716049382716049,0,0.0,6,1,
6,5,31533 -> 35552,31533 -> 35552 -> 31533,2,non-trivial cycle,2330,29.963991769547324,2330,29.987129987129986,0,3,3
