x,y,kaprekar_output,output_state,next_x,next_y,attractor_pair,pair_distance_to_attractor,pair_path,is_maximum_nonzero_pair
0,0,0,0000,0,0,"(0,0)",0,"(0,0) -> (0,0)",False
1,0,999,0999,9,0,"(6,2)",4,"(1,0) -> (9,0) -> (8,1) -> (8,6) -> (6,2) -> (6,2)",False
1,1,1089,1089,9,7,"(6,2)",3,"(1,1) -> (9,7) -> (8,4) -> (6,2) -> (6,2)",False
2,0,1998,1998,8,1,"(6,2)",3,"(2,0) -> (8,1) -> (8,6) -> (6,2) -> (6,2)",False
2,1,2088,2088,8,6,"(6,2)",2,"(2,1) -> (8,6) -> (6,2) -> (6,2)",False
2,2,2178,2178,7,5,"(6,2)",5,"(2,2) -> (7,5) -> (4,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",False
3,0,2997,2997,7,2,"(6,2)",5,"(3,0) -> (7,2) -> (6,4) -> (3,1) -> (8,4) -> (6,2) -> (6,2)",False
3,1,3087,3087,8,4,"(6,2)",2,"(3,1) -> (8,4) -> (6,2) -> (6,2)",False
3,2,3177,3177,6,4,"(6,2)",4,"(3,2) -> (6,4) -> (3,1) -> (8,4) -> (6,2) -> (6,2)",False
3,3,3267,3267,5,3,"(6,2)",5,"(3,3) -> (5,3) -> (4,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",False
4,0,3996,3996,6,3,"(6,2)",3,"(4,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",False
4,1,4086,4086,8,2,"(6,2)",6,"(4,1) -> (8,2) -> (7,5) -> (4,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",True
4,2,4176,4176,6,2,"(6,2)",1,"(4,2) -> (6,2) -> (6,2)",False
4,3,4266,4266,4,2,"(6,2)",2,"(4,3) -> (4,2) -> (6,2) -> (6,2)",False
4,4,4356,4356,3,1,"(6,2)",3,"(4,4) -> (3,1) -> (8,4) -> (6,2) -> (6,2)",False
5,0,4995,4995,5,4,"(6,2)",5,"(5,0) -> (5,4) -> (2,0) -> (8,1) -> (8,6) -> (6,2) -> (6,2)",False
5,1,5085,5085,8,0,"(6,2)",6,"(5,1) -> (8,0) -> (7,2) -> (6,4) -> (3,1) -> (8,4) -> (6,2) -> (6,2)",True
5,2,5175,5175,6,0,"(6,2)",6,"(5,2) -> (6,0) -> (5,4) -> (2,0) -> (8,1) -> (8,6) -> (6,2) -> (6,2)",True
5,3,5265,5265,4,0,"(6,2)",4,"(5,3) -> (4,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",False
5,4,5355,5355,2,0,"(6,2)",4,"(5,4) -> (2,0) -> (8,1) -> (8,6) -> (6,2) -> (6,2)",False
5,5,5445,5445,1,1,"(6,2)",4,"(5,5) -> (1,1) -> (9,7) -> (8,4) -> (6,2) -> (6,2)",False
6,0,5994,5994,5,4,"(6,2)",5,"(6,0) -> (5,4) -> (2,0) -> (8,1) -> (8,6) -> (6,2) -> (6,2)",False
6,1,6084,6084,8,2,"(6,2)",6,"(6,1) -> (8,2) -> (7,5) -> (4,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",True
6,2,6174,6174,6,2,"(6,2)",0,"(6,2) -> (6,2)",False
6,3,6264,6264,4,2,"(6,2)",2,"(6,3) -> (4,2) -> (6,2) -> (6,2)",False
6,4,6354,6354,3,1,"(6,2)",3,"(6,4) -> (3,1) -> (8,4) -> (6,2) -> (6,2)",False
6,5,6444,6444,2,0,"(6,2)",4,"(6,5) -> (2,0) -> (8,1) -> (8,6) -> (6,2) -> (6,2)",False
6,6,6534,6534,3,1,"(6,2)",3,"(6,6) -> (3,1) -> (8,4) -> (6,2) -> (6,2)",False
7,0,6993,6993,6,3,"(6,2)",3,"(7,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",False
7,1,7083,7083,8,4,"(6,2)",2,"(7,1) -> (8,4) -> (6,2) -> (6,2)",False
7,2,7173,7173,6,4,"(6,2)",4,"(7,2) -> (6,4) -> (3,1) -> (8,4) -> (6,2) -> (6,2)",False
7,3,7263,7263,5,3,"(6,2)",5,"(7,3) -> (5,3) -> (4,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",False
7,4,7353,7353,4,2,"(6,2)",2,"(7,4) -> (4,2) -> (6,2) -> (6,2)",False
7,5,7443,7443,4,0,"(6,2)",4,"(7,5) -> (4,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",False
7,6,7533,7533,4,2,"(6,2)",2,"(7,6) -> (4,2) -> (6,2) -> (6,2)",False
7,7,7623,7623,5,3,"(6,2)",5,"(7,7) -> (5,3) -> (4,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",False
8,0,7992,7992,7,2,"(6,2)",5,"(8,0) -> (7,2) -> (6,4) -> (3,1) -> (8,4) -> (6,2) -> (6,2)",False
8,1,8082,8082,8,6,"(6,2)",2,"(8,1) -> (8,6) -> (6,2) -> (6,2)",False
8,2,8172,8172,7,5,"(6,2)",5,"(8,2) -> (7,5) -> (4,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",False
8,3,8262,8262,6,4,"(6,2)",4,"(8,3) -> (6,4) -> (3,1) -> (8,4) -> (6,2) -> (6,2)",False
8,4,8352,8352,6,2,"(6,2)",1,"(8,4) -> (6,2) -> (6,2)",False
8,5,8442,8442,6,0,"(6,2)",6,"(8,5) -> (6,0) -> (5,4) -> (2,0) -> (8,1) -> (8,6) -> (6,2) -> (6,2)",True
8,6,8532,8532,6,2,"(6,2)",1,"(8,6) -> (6,2) -> (6,2)",False
8,7,8622,8622,6,4,"(6,2)",4,"(8,7) -> (6,4) -> (3,1) -> (8,4) -> (6,2) -> (6,2)",False
8,8,8712,8712,7,5,"(6,2)",5,"(8,8) -> (7,5) -> (4,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",False
9,0,8991,8991,8,1,"(6,2)",3,"(9,0) -> (8,1) -> (8,6) -> (6,2) -> (6,2)",False
9,1,9081,9081,9,7,"(6,2)",3,"(9,1) -> (9,7) -> (8,4) -> (6,2) -> (6,2)",False
9,2,9171,9171,8,6,"(6,2)",2,"(9,2) -> (8,6) -> (6,2) -> (6,2)",False
9,3,9261,9261,8,4,"(6,2)",2,"(9,3) -> (8,4) -> (6,2) -> (6,2)",False
9,4,9351,9351,8,2,"(6,2)",6,"(9,4) -> (8,2) -> (7,5) -> (4,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",True
9,5,9441,9441,8,0,"(6,2)",6,"(9,5) -> (8,0) -> (7,2) -> (6,4) -> (3,1) -> (8,4) -> (6,2) -> (6,2)",True
9,6,9531,9531,8,2,"(6,2)",6,"(9,6) -> (8,2) -> (7,5) -> (4,0) -> (6,3) -> (4,2) -> (6,2) -> (6,2)",True
9,7,9621,9621,8,4,"(6,2)",2,"(9,7) -> (8,4) -> (6,2) -> (6,2)",False
9,8,9711,9711,8,6,"(6,2)",2,"(9,8) -> (8,6) -> (6,2) -> (6,2)",False
9,9,9801,9801,9,7,"(6,2)",3,"(9,9) -> (9,7) -> (8,4) -> (6,2) -> (6,2)",False
