base,digits,ordered_state_count,repdigit_state_count,valid_state_count,permutation_class_count,unique_output_count,attractor_count,fixed_point_count,nontrivial_cycle_count,maximum_cycle_length,maximum_transient_depth_all,maximum_transient_depth_valid,valid_mean_transient_depth,valid_median_transient_depth,valid_population_standard_deviation,valid_attractor_count,unanimous_valid_attractor,largest_valid_basin_size,largest_valid_basin_percentage
2,2,4,2,2,3,2,2,2,0,1,1,1,0.5,0.5,0.5,1,True,2,100.0
2,3,8,2,6,4,2,2,2,0,1,1,1,0.8333333333333334,1.0,0.37267799624996495,1,True,6,100.0
2,4,16,2,14,5,3,3,3,0,1,1,1,0.8571428571428571,1.0,0.3499271061118826,2,False,8,57.142857142857146
2,5,32,2,30,6,3,3,3,0,1,1,1,0.9333333333333333,1.0,0.24944382578492943,2,False,20,66.66666666666667
2,6,64,2,62,7,4,4,4,0,1,1,1,0.9516129032258065,1.0,0.21458281767177534,3,False,30,48.38709677419355
3,2,9,3,6,6,3,1,1,0,1,3,3,2.6666666666666665,3.0,0.4714045207910317,1,True,6,100.0
3,3,27,3,24,10,3,2,1,1,2,1,1,0.9166666666666666,1.0,0.2763853991962833,1,True,24,100.0
3,4,81,3,78,15,6,2,1,1,2,2,2,1.564102564102564,2.0,0.545135682704341,1,True,78,100.0
3,5,243,3,240,21,6,2,2,0,1,4,4,1.8708333333333333,2.0,0.933175209819797,1,True,240,100.0
3,6,729,3,726,28,10,2,1,1,3,3,3,1.8829201101928374,2.0,0.7052032211705355,1,True,726,100.0
4,2,16,4,12,10,4,2,1,1,2,2,2,1.1666666666666667,1.0,0.6871842709362768,1,True,12,100.0
4,3,64,4,60,20,4,2,2,0,1,3,3,1.8833333333333333,2.0,0.8581310441237334,1,True,60,100.0
4,4,256,4,252,35,10,3,2,1,2,3,3,1.5912698412698412,1.0,0.742424154778377,2,False,168,66.66666666666667
4,5,1024,4,1020,56,10,2,1,1,2,4,4,2.6745098039215685,3.0,1.1930917387035695,1,True,1020,100.0
4,6,4096,4,4092,84,20,4,4,0,1,6,6,3.0970185728250246,3.0,1.461838083794769,3,False,3532,86.3147605083089
5,2,25,5,20,15,5,2,2,0,1,3,3,2.05,2.0,0.9205976319760985,2,False,16,80.0
5,3,125,5,120,35,5,2,1,1,2,3,3,1.5833333333333333,1.0,0.8224286527650219,1,True,120,100.0
5,4,625,5,620,70,15,2,2,0,1,4,4,2.391935483870968,2.0,0.8722973721816938,1,True,620,100.0
5,5,3125,5,3120,126,15,2,1,1,4,3,3,1.6333333333333333,2.0,0.5696752711237469,1,True,3120,100.0
5,6,15625,5,15620,210,35,2,1,1,5,5,5,2.188412291933419,2.0,1.0110941141200414,1,True,15620,100.0
6,2,36,6,30,21,6,2,1,1,3,2,2,1.3,1.0,0.6403124237432849,1,True,30,100.0
6,3,216,6,210,56,6,2,2,0,1,4,4,2.395238095238095,3.0,1.0286265417333333,1,True,210,100.0
6,4,1296,6,1290,126,21,2,1,1,6,4,4,1.6728682170542635,2.0,0.7614502623370092,1,True,1290,100.0
6,5,7776,6,7770,252,21,3,2,1,2,6,6,2.961003861003861,3.0,1.4351347888877737,2,False,5440,70.01287001287001
6,6,46656,6,46650,462,56,5,4,1,3,7,7,3.247245444801715,3.0,1.6954530392649558,4,False,26760,57.363344051446944
7,2,49,7,42,28,7,1,1,0,1,4,4,3.4285714285714284,4.0,0.7284313590846835,1,True,42,100.0
7,3,343,7,336,84,7,2,1,1,2,4,4,2.0654761904761907,2.0,1.0753730302527638,1,True,336,100.0
7,4,2401,7,2394,210,28,2,1,1,3,4,4,2.2218045112781954,2.0,0.8299987932954354,1,True,2394,100.0
7,5,16807,7,16800,462,28,2,1,1,5,6,6,2.6294642857142856,2.0,1.473948680589051,1,True,16800,100.0
7,6,117649,7,117642,924,84,2,1,1,6,7,7,2.9398684143418166,3.0,1.4155491903868642,1,True,117642,100.0
8,2,64,8,56,36,8,3,2,1,3,2,2,1.3571428571428572,1.0,0.6102859818083951,2,False,42,75.0
8,3,512,8,504,120,8,2,2,0,1,5,5,2.8313492063492065,3.0,1.2171596217101488,1,True,504,100.0
8,4,4096,8,4088,330,36,3,1,2,5,5,5,2.289628180039139,2.0,1.2395433706879533,2,False,2768,67.71037181996086
8,5,32768,8,32760,792,36,3,1,2,4,8,8,3.5205738705738705,3.0,2.340596578794654,2,False,30850,94.16971916971917
8,6,262144,8,262136,1716,120,4,3,1,3,16,16,8.1272888882107,8.0,4.19216720151594,3,False,232372,88.64558854945524
9,2,81,9,72,45,9,2,1,1,2,3,3,2.138888888888889,2.0,0.8867160944173538,2,False,64,88.88888888888889
9,3,729,9,720,165,9,2,1,1,2,5,5,2.4972222222222222,3.0,1.3017053154977365,1,True,720,100.0
