scope,transformations_to_6174,count,percentage
all valid states 0000-9999,0,1,0.01001001001001001
all valid states 0000-9999,1,383,3.833833833833834
all valid states 0000-9999,2,576,5.7657657657657655
all valid states 0000-9999,3,2400,24.024024024024023
all valid states 0000-9999,4,1272,12.732732732732734
all valid states 0000-9999,5,1518,15.195195195195195
all valid states 0000-9999,6,1656,16.576576576576578
all valid states 0000-9999,7,2184,21.86186186186186
valid ordinary integers 1000-9999,0,1,0.011122233344455567
valid ordinary integers 1000-9999,1,356,3.959515070626182
valid ordinary integers 1000-9999,2,519,5.772439105772439
valid ordinary integers 1000-9999,3,2124,23.623623623623622
valid ordinary integers 1000-9999,4,1124,12.501390279168056
valid ordinary integers 1000-9999,5,1379,15.337559782004227
valid ordinary integers 1000-9999,6,1508,16.772327883438994
valid ordinary integers 1000-9999,7,1980,22.02202202202202
