start,start_state,digit_multiset,x,y,first_result,first_result_state,distance_to_6174,trajectory
14,0014,0014,4,1,4086,4086,7.0,0014 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
15,0015,0015,5,1,5085,5085,7.0,0015 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
16,0016,0016,6,1,6084,6084,7.0,0016 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
25,0025,0025,5,2,5175,5175,7.0,0025 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
41,0041,0014,4,1,4086,4086,7.0,0041 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
49,0049,0049,9,4,9351,9351,7.0,0049 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
51,0051,0015,5,1,5085,5085,7.0,0051 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
52,0052,0025,5,2,5175,5175,7.0,0052 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
58,0058,0058,8,5,8442,8442,7.0,0058 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
59,0059,0059,9,5,9441,9441,7.0,0059 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
61,0061,0016,6,1,6084,6084,7.0,0061 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
69,0069,0069,9,6,9531,9531,7.0,0069 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
85,0085,0058,8,5,8442,8442,7.0,0085 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
94,0094,0049,9,4,9351,9351,7.0,0094 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
95,0095,0059,9,5,9441,9441,7.0,0095 -> 9441 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
96,0096,0069,9,6,9531,9531,7.0,0096 -> 9531 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
104,0104,0014,4,1,4086,4086,7.0,0104 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
105,0105,0015,5,1,5085,5085,7.0,0105 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
106,0106,0016,6,1,6084,6084,7.0,0106 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
124,0124,0124,4,1,4086,4086,7.0,0124 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
125,0125,0125,5,1,5085,5085,7.0,0125 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
126,0126,0126,6,1,6084,6084,7.0,0126 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
135,0135,0135,5,2,5175,5175,7.0,0135 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
140,0140,0014,4,1,4086,4086,7.0,0140 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
142,0142,0124,4,1,4086,4086,7.0,0142 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
150,0150,0015,5,1,5085,5085,7.0,0150 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
152,0152,0125,5,1,5085,5085,7.0,0152 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
153,0153,0135,5,2,5175,5175,7.0,0153 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
159,0159,0159,9,4,9351,9351,7.0,0159 -> 9351 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
160,0160,0016,6,1,6084,6084,7.0,0160 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
162,0162,0126,6,1,6084,6084,7.0,0162 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
168,0168,0168,8,5,8442,8442,7.0,0168 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
