digit_multiset,class_size,members,distinct_digits,is_repdigit_class,x,y,first_result,first_result_state,distance_after_first_to_6174,member_distance_values_to_6174,member_distance_min_to_6174,member_distance_max_to_6174,all_members_same_distance,member_iterations_to_attractor_min,member_iterations_to_attractor_max,final_attractors
0000,1,0000,1,True,0,0,0,0000,,,,,True,0,0,0000
0001,4,0001 0010 0100 1000,2,False,1,0,999,0999,4,5,5,5,True,5,5,6174
0002,4,0002 0020 0200 2000,2,False,2,0,1998,1998,3,4,4,4,True,4,4,6174
0003,4,0003 0030 0300 3000,2,False,3,0,2997,2997,5,6,6,6,True,6,6,6174
0004,4,0004 0040 0400 4000,2,False,4,0,3996,3996,3,4,4,4,True,4,4,6174
0005,4,0005 0050 0500 5000,2,False,5,0,4995,4995,5,6,6,6,True,6,6,6174
0006,4,0006 0060 0600 6000,2,False,6,0,5994,5994,5,6,6,6,True,6,6,6174
0007,4,0007 0070 0700 7000,2,False,7,0,6993,6993,3,4,4,4,True,4,4,6174
0008,4,0008 0080 0800 8000,2,False,8,0,7992,7992,5,6,6,6,True,6,6,6174
0009,4,0009 0090 0900 9000,2,False,9,0,8991,8991,3,4,4,4,True,4,4,6174
0011,6,0011 0101 0110 1001 1010 1100,2,False,1,1,1089,1089,3,4,4,4,True,4,4,6174
0012,12,0012 0021 0102 0120 0201 0210 1002 1020 1200 2001 2010 2100,3,False,2,1,2088,2088,2,3,3,3,True,3,3,6174
0013,12,0013 0031 0103 0130 0301 0310 1003 1030 1300 3001 3010 3100,3,False,3,1,3087,3087,2,3,3,3,True,3,3,6174
0014,12,0014 0041 0104 0140 0401 0410 1004 1040 1400 4001 4010 4100,3,False,4,1,4086,4086,6,7,7,7,True,7,7,6174
0015,12,0015 0051 0105 0150 0501 0510 1005 1050 1500 5001 5010 5100,3,False,5,1,5085,5085,6,7,7,7,True,7,7,6174
0016,12,0016 0061 0106 0160 0601 0610 1006 1060 1600 6001 6010 6100,3,False,6,1,6084,6084,6,7,7,7,True,7,7,6174
0017,12,0017 0071 0107 0170 0701 0710 1007 1070 1700 7001 7010 7100,3,False,7,1,7083,7083,2,3,3,3,True,3,3,6174
0018,12,0018 0081 0108 0180 0801 0810 1008 1080 1800 8001 8010 8100,3,False,8,1,8082,8082,2,3,3,3,True,3,3,6174
0019,12,0019 0091 0109 0190 0901 0910 1009 1090 1900 9001 9010 9100,3,False,9,1,9081,9081,3,4,4,4,True,4,4,6174
0022,6,0022 0202 0220 2002 2020 2200,2,False,2,2,2178,2178,5,6,6,6,True,6,6,6174
0023,12,0023 0032 0203 0230 0302 0320 2003 2030 2300 3002 3020 3200,3,False,3,2,3177,3177,4,5,5,5,True,5,5,6174
0024,12,0024 0042 0204 0240 0402 0420 2004 2040 2400 4002 4020 4200,3,False,4,2,4176,4176,1,2,2,2,True,2,2,6174
0025,12,0025 0052 0205 0250 0502 0520 2005 2050 2500 5002 5020 5200,3,False,5,2,5175,5175,6,7,7,7,True,7,7,6174
0026,12,0026 0062 0206 0260 0602 0620 2006 2060 2600 6002 6020 6200,3,False,6,2,6174,6174,0,1,1,1,True,1,1,6174
0027,12,0027 0072 0207 0270 0702 0720 2007 2070 2700 7002 7020 7200,3,False,7,2,7173,7173,4,5,5,5,True,5,5,6174
0028,12,0028 0082 0208 0280 0802 0820 2008 2080 2800 8002 8020 8200,3,False,8,2,8172,8172,5,6,6,6,True,6,6,6174
0029,12,0029 0092 0209 0290 0902 0920 2009 2090 2900 9002 9020 9200,3,False,9,2,9171,9171,2,3,3,3,True,3,3,6174
0033,6,0033 0303 0330 3003 3030 3300,2,False,3,3,3267,3267,5,6,6,6,True,6,6,6174
0034,12,0034 0043 0304 0340 0403 0430 3004 3040 3400 4003 4030 4300,3,False,4,3,4266,4266,2,3,3,3,True,3,3,6174
0035,12,0035 0053 0305 0350 0503 0530 3005 3050 3500 5003 5030 5300,3,False,5,3,5265,5265,4,5,5,5,True,5,5,6174
0036,12,0036 0063 0306 0360 0603 0630 3006 3060 3600 6003 6030 6300,3,False,6,3,6264,6264,2,3,3,3,True,3,3,6174
0037,12,0037 0073 0307 0370 0703 0730 3007 3070 3700 7003 7030 7300,3,False,7,3,7263,7263,5,6,6,6,True,6,6,6174
0038,12,0038 0083 0308 0380 0803 0830 3008 3080 3800 8003 8030 8300,3,False,8,3,8262,8262,4,5,5,5,True,5,5,6174
0039,12,0039 0093 0309 0390 0903 0930 3009 3090 3900 9003 9030 9300,3,False,9,3,9261,9261,2,3,3,3,True,3,3,6174
0044,6,0044 0404 0440 4004 4040 4400,2,False,4,4,4356,4356,3,4,4,4,True,4,4,6174
0045,12,0045 0054 0405 0450 0504 0540 4005 4050 4500 5004 5040 5400,3,False,5,4,5355,5355,4,5,5,5,True,5,5,6174
0046,12,0046 0064 0406 0460 0604 0640 4006 4060 4600 6004 6040 6400,3,False,6,4,6354,6354,3,4,4,4,True,4,4,6174
0047,12,0047 0074 0407 0470 0704 0740 4007 4070 4700 7004 7040 7400,3,False,7,4,7353,7353,2,3,3,3,True,3,3,6174
0048,12,0048 0084 0408 0480 0804 0840 4008 4080 4800 8004 8040 8400,3,False,8,4,8352,8352,1,2,2,2,True,2,2,6174
0049,12,0049 0094 0409 0490 0904 0940 4009 4090 4900 9004 9040 9400,3,False,9,4,9351,9351,6,7,7,7,True,7,7,6174
0055,6,0055 0505 0550 5005 5050 5500,2,False,5,5,5445,5445,4,5,5,5,True,5,5,6174
0056,12,0056 0065 0506 0560 0605 0650 5006 5060 5600 6005 6050 6500,3,False,6,5,6444,6444,4,5,5,5,True,5,5,6174
0057,12,0057 0075 0507 0570 0705 0750 5007 5070 5700 7005 7050 7500,3,False,7,5,7443,7443,4,5,5,5,True,5,5,6174
0058,12,0058 0085 0508 0580 0805 0850 5008 5080 5800 8005 8050 8500,3,False,8,5,8442,8442,6,7,7,7,True,7,7,6174
0059,12,0059 0095 0509 0590 0905 0950 5009 5090 5900 9005 9050 9500,3,False,9,5,9441,9441,6,7,7,7,True,7,7,6174
0066,6,0066 0606 0660 6006 6060 6600,2,False,6,6,6534,6534,3,4,4,4,True,4,4,6174
0067,12,0067 0076 0607 0670 0706 0760 6007 6070 6700 7006 7060 7600,3,False,7,6,7533,7533,2,3,3,3,True,3,3,6174
0068,12,0068 0086 0608 0680 0806 0860 6008 6080 6800 8006 8060 8600,3,False,8,6,8532,8532,1,2,2,2,True,2,2,6174
0069,12,0069 0096 0609 0690 0906 0960 6009 6090 6900 9006 9060 9600,3,False,9,6,9531,9531,6,7,7,7,True,7,7,6174
0077,6,0077 0707 0770 7007 7070 7700,2,False,7,7,7623,7623,5,6,6,6,True,6,6,6174
0078,12,0078 0087 0708 0780 0807 0870 7008 7080 7800 8007 8070 8700,3,False,8,7,8622,8622,4,5,5,5,True,5,5,6174
0079,12,0079 0097 0709 0790 0907 0970 7009 7090 7900 9007 9070 9700,3,False,9,7,9621,9621,2,3,3,3,True,3,3,6174
0088,6,0088 0808 0880 8008 8080 8800,2,False,8,8,8712,8712,5,6,6,6,True,6,6,6174
0089,12,0089 0098 0809 0890 0908 0980 8009 8090 8900 9008 9080 9800,3,False,9,8,9711,9711,2,3,3,3,True,3,3,6174
0099,6,0099 0909 0990 9009 9090 9900,2,False,9,9,9801,9801,3,4,4,4,True,4,4,6174
0111,4,0111 1011 1101 1110,2,False,1,0,999,0999,4,5,5,5,True,5,5,6174
0112,12,0112 0121 0211 1012 1021 1102 1120 1201 1210 2011 2101 2110,3,False,2,0,1998,1998,3,4,4,4,True,4,4,6174
0113,12,0113 0131 0311 1013 1031 1103 1130 1301 1310 3011 3101 3110,3,False,3,0,2997,2997,5,6,6,6,True,6,6,6174
0114,12,0114 0141 0411 1014 1041 1104 1140 1401 1410 4011 4101 4110,3,False,4,0,3996,3996,3,4,4,4,True,4,4,6174
0115,12,0115 0151 0511 1015 1051 1105 1150 1501 1510 5011 5101 5110,3,False,5,0,4995,4995,5,6,6,6,True,6,6,6174
0116,12,0116 0161 0611 1016 1061 1106 1160 1601 1610 6011 6101 6110,3,False,6,0,5994,5994,5,6,6,6,True,6,6,6174
0117,12,0117 0171 0711 1017 1071 1107 1170 1701 1710 7011 7101 7110,3,False,7,0,6993,6993,3,4,4,4,True,4,4,6174
0118,12,0118 0181 0811 1018 1081 1108 1180 1801 1810 8011 8101 8110,3,False,8,0,7992,7992,5,6,6,6,True,6,6,6174
0119,12,0119 0191 0911 1019 1091 1109 1190 1901 1910 9011 9101 9110,3,False,9,0,8991,8991,3,4,4,4,True,4,4,6174
0122,12,0122 0212 0221 1022 1202 1220 2012 2021 2102 2120 2201 2210,3,False,2,1,2088,2088,2,3,3,3,True,3,3,6174
0123,24,0123 0132 0213 0231 0312 0321 1023 1032 1203 1230 1302 1320 2013 2031 2103 2130 2301 2310 3012 3021 3102 3120 3201 3210,4,False,3,1,3087,3087,2,3,3,3,True,3,3,6174
0124,24,0124 0142 0214 0241 0412 0421 1024 1042 1204 1240 1402 1420 2014 2041 2104 2140 2401 2410 4012 4021 4102 4120 4201 4210,4,False,4,1,4086,4086,6,7,7,7,True,7,7,6174
0125,24,0125 0152 0215 0251 0512 0521 1025 1052 1205 1250 1502 1520 2015 2051 2105 2150 2501 2510 5012 5021 5102 5120 5201 5210,4,False,5,1,5085,5085,6,7,7,7,True,7,7,6174
0126,24,0126 0162 0216 0261 0612 0621 1026 1062 1206 1260 1602 1620 2016 2061 2106 2160 2601 2610 6012 6021 6102 6120 6201 6210,4,False,6,1,6084,6084,6,7,7,7,True,7,7,6174
0127,24,0127 0172 0217 0271 0712 0721 1027 1072 1207 1270 1702 1720 2017 2071 2107 2170 2701 2710 7012 7021 7102 7120 7201 7210,4,False,7,1,7083,7083,2,3,3,3,True,3,3,6174
0128,24,0128 0182 0218 0281 0812 0821 1028 1082 1208 1280 1802 1820 2018 2081 2108 2180 2801 2810 8012 8021 8102 8120 8201 8210,4,False,8,1,8082,8082,2,3,3,3,True,3,3,6174
0129,24,0129 0192 0219 0291 0912 0921 1029 1092 1209 1290 1902 1920 2019 2091 2109 2190 2901 2910 9012 9021 9102 9120 9201 9210,4,False,9,1,9081,9081,3,4,4,4,True,4,4,6174
0133,12,0133 0313 0331 1033 1303 1330 3013 3031 3103 3130 3301 3310,3,False,3,2,3177,3177,4,5,5,5,True,5,5,6174
0134,24,0134 0143 0314 0341 0413 0431 1034 1043 1304 1340 1403 1430 3014 3041 3104 3140 3401 3410 4013 4031 4103 4130 4301 4310,4,False,4,2,4176,4176,1,2,2,2,True,2,2,6174
0135,24,0135 0153 0315 0351 0513 0531 1035 1053 1305 1350 1503 1530 3015 3051 3105 3150 3501 3510 5013 5031 5103 5130 5301 5310,4,False,5,2,5175,5175,6,7,7,7,True,7,7,6174
0136,24,0136 0163 0316 0361 0613 0631 1036 1063 1306 1360 1603 1630 3016 3061 3106 3160 3601 3610 6013 6031 6103 6130 6301 6310,4,False,6,2,6174,6174,0,1,1,1,True,1,1,6174
0137,24,0137 0173 0317 0371 0713 0731 1037 1073 1307 1370 1703 1730 3017 3071 3107 3170 3701 3710 7013 7031 7103 7130 7301 7310,4,False,7,2,7173,7173,4,5,5,5,True,5,5,6174
0138,24,0138 0183 0318 0381 0813 0831 1038 1083 1308 1380 1803 1830 3018 3081 3108 3180 3801 3810 8013 8031 8103 8130 8301 8310,4,False,8,2,8172,8172,5,6,6,6,True,6,6,6174
0139,24,0139 0193 0319 0391 0913 0931 1039 1093 1309 1390 1903 1930 3019 3091 3109 3190 3901 3910 9013 9031 9103 9130 9301 9310,4,False,9,2,9171,9171,2,3,3,3,True,3,3,6174
0144,12,0144 0414 0441 1044 1404 1440 4014 4041 4104 4140 4401 4410,3,False,4,3,4266,4266,2,3,3,3,True,3,3,6174
0145,24,0145 0154 0415 0451 0514 0541 1045 1054 1405 1450 1504 1540 4015 4051 4105 4150 4501 4510 5014 5041 5104 5140 5401 5410,4,False,5,3,5265,5265,4,5,5,5,True,5,5,6174
0146,24,0146 0164 0416 0461 0614 0641 1046 1064 1406 1460 1604 1640 4016 4061 4106 4160 4601 4610 6014 6041 6104 6140 6401 6410,4,False,6,3,6264,6264,2,3,3,3,True,3,3,6174
0147,24,0147 0174 0417 0471 0714 0741 1047 1074 1407 1470 1704 1740 4017 4071 4107 4170 4701 4710 7014 7041 7104 7140 7401 7410,4,False,7,3,7263,7263,5,6,6,6,True,6,6,6174
0148,24,0148 0184 0418 0481 0814 0841 1048 1084 1408 1480 1804 1840 4018 4081 4108 4180 4801 4810 8014 8041 8104 8140 8401 8410,4,False,8,3,8262,8262,4,5,5,5,True,5,5,6174
0149,24,0149 0194 0419 0491 0914 0941 1049 1094 1409 1490 1904 1940 4019 4091 4109 4190 4901 4910 9014 9041 9104 9140 9401 9410,4,False,9,3,9261,9261,2,3,3,3,True,3,3,6174
0155,12,0155 0515 0551 1055 1505 1550 5015 5051 5105 5150 5501 5510,3,False,5,4,5355,5355,4,5,5,5,True,5,5,6174
0156,24,0156 0165 0516 0561 0615 0651 1056 1065 1506 1560 1605 1650 5016 5061 5106 5160 5601 5610 6015 6051 6105 6150 6501 6510,4,False,6,4,6354,6354,3,4,4,4,True,4,4,6174
0157,24,0157 0175 0517 0571 0715 0751 1057 1075 1507 1570 1705 1750 5017 5071 5107 5170 5701 5710 7015 7051 7105 7150 7501 7510,4,False,7,4,7353,7353,2,3,3,3,True,3,3,6174
0158,24,0158 0185 0518 0581 0815 0851 1058 1085 1508 1580 1805 1850 5018 5081 5108 5180 5801 5810 8015 8051 8105 8150 8501 8510,4,False,8,4,8352,8352,1,2,2,2,True,2,2,6174
0159,24,0159 0195 0519 0591 0915 0951 1059 1095 1509 1590 1905 1950 5019 5091 5109 5190 5901 5910 9015 9051 9105 9150 9501 9510,4,False,9,4,9351,9351,6,7,7,7,True,7,7,6174
0166,12,0166 0616 0661 1066 1606 1660 6016 6061 6106 6160 6601 6610,3,False,6,5,6444,6444,4,5,5,5,True,5,5,6174
0167,24,0167 0176 0617 0671 0716 0761 1067 1076 1607 1670 1706 1760 6017 6071 6107 6170 6701 6710 7016 7061 7106 7160 7601 7610,4,False,7,5,7443,7443,4,5,5,5,True,5,5,6174
0168,24,0168 0186 0618 0681 0816 0861 1068 1086 1608 1680 1806 1860 6018 6081 6108 6180 6801 6810 8016 8061 8106 8160 8601 8610,4,False,8,5,8442,8442,6,7,7,7,True,7,7,6174
