state,state_string,direct_predecessor_count,is_one_step_output,distance_to_6174,final_attractor_state
0,0000,10,True,,0000
999,0999,72,True,4.0,6174
1089,1089,54,True,3.0,6174
1998,1998,160,True,3.0,6174
2088,2088,192,True,2.0,6174
2178,2178,48,True,5.0,6174
2997,2997,224,True,5.0,6174
3087,3087,336,True,2.0,6174
3177,3177,168,True,4.0,6174
3267,3267,42,True,5.0,6174
3996,3996,264,True,3.0,6174
4086,4086,432,True,6.0,6174
4176,4176,288,True,1.0,6174
4266,4266,144,True,2.0,6174
4356,4356,36,True,3.0,6174
4995,4995,280,True,5.0,6174
5085,5085,480,True,6.0,6174
5175,5175,360,True,6.0,6174
5265,5265,240,True,4.0,6174
5355,5355,120,True,4.0,6174
5445,5445,30,True,4.0,6174
5994,5994,272,True,5.0,6174
6084,6084,480,True,6.0,6174
6174,6174,384,True,0.0,6174
6264,6264,288,True,2.0,6174
6354,6354,192,True,3.0,6174
6444,6444,96,True,4.0,6174
6534,6534,24,True,3.0,6174
6993,6993,240,True,3.0,6174
7083,7083,432,True,2.0,6174
7173,7173,360,True,4.0,6174
7263,7263,288,True,5.0,6174
7353,7353,216,True,2.0,6174
7443,7443,144,True,4.0,6174
7533,7533,72,True,2.0,6174
7623,7623,18,True,5.0,6174
7992,7992,184,True,5.0,6174
8082,8082,336,True,2.0,6174
8172,8172,288,True,5.0,6174
8262,8262,240,True,4.0,6174
8352,8352,192,True,1.0,6174
8442,8442,144,True,6.0,6174
8532,8532,96,True,1.0,6174
8622,8622,48,True,4.0,6174
8712,8712,12,True,5.0,6174
8991,8991,104,True,3.0,6174
9081,9081,192,True,3.0,6174
9171,9171,168,True,2.0,6174
9261,9261,144,True,2.0,6174
9351,9351,120,True,6.0,6174
9441,9441,96,True,6.0,6174
9531,9531,72,True,6.0,6174
9621,9621,48,True,2.0,6174
9711,9711,24,True,2.0,6174
9801,9801,6,True,3.0,6174
