x,y,input_state_count,permutation_class_count,kaprekar_output,kaprekar_output_state,output_distance_to_6174,output_final_attractor
0,0,10,10,0,0000,,0000
1,0,72,18,999,0999,4,6174
1,1,54,9,1089,1089,3,6174
2,0,160,24,1998,1998,3,6174
2,1,192,16,2088,2088,2,6174
2,2,48,8,2178,2178,5,6174
3,0,224,28,2997,2997,5,6174
3,1,336,21,3087,3087,2,6174
3,2,168,14,3177,3177,4,6174
3,3,42,7,3267,3267,5,6174
4,0,264,30,3996,3996,3,6174
4,1,432,24,4086,4086,6,6174
4,2,288,18,4176,4176,1,6174
4,3,144,12,4266,4266,2,6174
4,4,36,6,4356,4356,3,6174
5,0,280,30,4995,4995,5,6174
5,1,480,25,5085,5085,6,6174
5,2,360,20,5175,5175,6,6174
5,3,240,15,5265,5265,4,6174
5,4,120,10,5355,5355,4,6174
5,5,30,5,5445,5445,4,6174
6,0,272,28,5994,5994,5,6174
6,1,480,24,6084,6084,6,6174
6,2,384,20,6174,6174,0,6174
6,3,288,16,6264,6264,2,6174
6,4,192,12,6354,6354,3,6174
6,5,96,8,6444,6444,4,6174
6,6,24,4,6534,6534,3,6174
7,0,240,24,6993,6993,3,6174
7,1,432,21,7083,7083,2,6174
7,2,360,18,7173,7173,4,6174
7,3,288,15,7263,7263,5,6174
7,4,216,12,7353,7353,2,6174
7,5,144,9,7443,7443,4,6174
7,6,72,6,7533,7533,2,6174
7,7,18,3,7623,7623,5,6174
8,0,184,18,7992,7992,5,6174
8,1,336,16,8082,8082,2,6174
8,2,288,14,8172,8172,5,6174
8,3,240,12,8262,8262,4,6174
8,4,192,10,8352,8352,1,6174
8,5,144,8,8442,8442,6,6174
8,6,96,6,8532,8532,1,6174
8,7,48,4,8622,8622,4,6174
8,8,12,2,8712,8712,5,6174
9,0,104,10,8991,8991,3,6174
9,1,192,9,9081,9081,3,6174
9,2,168,8,9171,9171,2,6174
9,3,144,7,9261,9261,2,6174
9,4,120,6,9351,9351,6,6174
9,5,96,5,9441,9441,6,6174
9,6,72,4,9531,9531,6,6174
9,7,48,3,9621,9621,2,6174
9,8,24,2,9711,9711,2,6174
9,9,6,1,9801,9801,3,6174
